Acronym,Definition,Comment,Link,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
MEAN,"MongoDB, Express.js, AngularJS(or Angular), and Node.js ",,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
MFA,Multifactor Authentication,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
MIB,Management Information Base,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
MISP,Malware Information Sharing Platform ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
MITEM,Man-in-the-middle,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
MKD,Multipoint Key Distribution,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
MPLS,Multi-protocol Label Switching ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
MTBF,Mean Time Between Failures,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
MTLS,Mutual Transport Layer Security  ,Mutual Transport Layer Security (mTLS) is a process that establishes an encrypted TLS connection in which both parties use X.509 digital certificates to authenticate each other.,https://www.f5.com/labs/learning-center/what-is-mtls,2023-04-13T08:21:00Z,GW,2023-04-13T08:21:00Z,GW
MTTR,Mean Time To Recovery/Repair,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NAAS,Network as a Service,"NaaS is a cloud model that enables users to easily operate the network and achieve the outcomes they expect from it without owning, building, or maintaining their own infrastructure.",https://www.cisco.com/c/en/us/solutions/enterprise-networks/network-as-service-naas.html,2023-01-23T09:27:00Z,GW,2023-01-23T09:27:00Z,GW
NAC,Network Access Control,"IEEE 802.1X. Network access control, also called network admission control, is a method to bolster the security, visibility and access management  of a proprietary network. It restricts the availability of network resources to endpoint devices and users that comply with a defined security policy.",https://www.techtarget.com/searchnetworking/definition/network-access-control,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NAS,Network Attached Storage,enhet som tillhandahåller en nätverksansluten plats där du kan lagra data,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NAT,Network Address Translation,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NBA,Network Behavior Analysis ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NBAD,Network Behavior Anomaly Detection ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NGFW,Next Generation Firewall,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NIC,Network Interface Card,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NIC,Network Interface Controller,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NIDS,Network Intrusion Detection System ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NIST,National Institute of Standards and Technology ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NMS,Network Management System ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NONCE,nonce, a nonce is an arbitrary number that can be used just once in a cryptographic communication,https://en.wikipedia.org/wiki/Cryptographic_nonce,2023-04-06T11:12:00Z,GW,2023-04-06T11:12:00Z,GW
NSA,National Security Agency ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NSF, National Science Foundation,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NSM,Network Security Monitoring ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NTLM,New Technology LAN Manager,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
NTP,Network Time Protocol,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
OASIS,Organization for the Advancement of Structured Information Standards,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
OCSP,Online Certificate Status Protocol,The Online Certificate Status Protocol (OCSP) is an Internet protocol used for obtaining the revocation status of an X.509 digital certificate.,https://en.wikipedia.org/wiki/Online_Certificate_Status_Protocol,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
ODM,Original Design Manufacturing,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
OEM,Original Equipment Manufacturer,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
OMB,Office of Management and Budget,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
OPC,Open Compute Project,,https://www.opencompute.org/,2023-01-19T14:35:00Z,GW,2023-01-19T14:35:00Z,GW
OPEX,Operaional Expenditure,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
OS,Operating System,"An operating system (OS) is system software that manages computer hardware and software resources, and provides common services for computer programs.",https://en.wikipedia.org/wiki/Operating_system,2023-03-09T09:35:00Z,GW,2023-03-09T09:35:00Z,GW
OSI,Open System Interconnection (OSI) Reference Model,"{
  ""osi_layer"": [
    {
      ""layer"": 7,
      ""name"": ""Application"",
      ""pdu"": ""Data"",
      ""device"": [
        ""Network apps""
      ],
      ""protocol"": [
        ""HTTPS"",
        ""SMTP"",
        ""FTP"",
        ""DNS"",
        ""...""
      ],
      ""function"": ""Protocols for resource sharing or remote file execution""
    },
    {
      ""layer"": 6,
      ""name"": ""Presentation"",
      ""pdu"": ""Data"",
      ""device"": [
        ""-""
      ],
      ""protocol"": [
        ""SSL"",
        ""MIME"",
        ""TLS"",
        ""JPG"",
        ""...""
      ],
      ""function"": ""Translation of data between a networking service and appalication character encoding, data compression, encrypt/decryption""
    },
    {
      ""layer"": 5,
      ""name"": ""Session"",
      ""pdu"": ""Data"",
      ""device"": [
        ""-""
      ],
      ""protocol"": [
        ""NetBIOS"",
        ""PPTP"",
        ""...""
      ],
      ""function"": ""Establish, manage and terminate session, API, sockets, Authentication, Authorization and session managment.""
    },
    {
      ""layer"": 4,
      ""name"": ""Transport"",
      ""pdu"": ""Segment|Datagram"",
      ""device"": [
        ""-""
      ],
      ""protocol"": [
        ""TCP"",
        ""UDP""
      ],
      ""function"": ""Reliabale connection oritented/less transmission of data segments/datagram between points on a network.""
    },
    {
      ""layer"": 3,
      ""name"": ""Network"",
      ""pdu"": ""Packet"",
      ""device"": [
        ""Router"",
        ""L3 Switch""
      ],
      ""protocol"": [
        ""IPv4"",
        ""IPv6"",
        ""IPX"",
        ""ICMP"",
        ""ARP""
      ],
      ""function"": ""TBD""
    },
    {
      ""layer"": 2,
      ""name"": ""Data link"",
      ""pdu"": ""Frame"",
      ""device"": [
        ""L2 Switch"",
        ""Bridge""
      ],
      ""protocol"": [
        ""802.1q/x"",
        ""CSMA"",
        ""Ethernet"",
        ""MAC""
      ],
      ""function"": ""Transmission of data frames between two nodes connected by a physical layer.""
    },
    {
      ""layer"": 1,
      ""name"": ""Physical"",
      ""pdu"": ""Bits"",
      ""device"": [
        ""Hub"",
        ""Repeater"",
        ""Cable"",
        ""Fiber"",
        ""NIC"",
        ""Modem""
      ],
      ""protocol"": [
        ""Ethernet"",
        ""USB"",
        ""Bluetooth"",
        ""802.11""
      ],
      ""function"": ""Transmisson and reception of raw bit stream over a physikal medium.""
    }
  ]
}",https://en.wikipedia.org/wiki/OSI_model,2022-12-15T11:41:25Z,GW,2024-02-13T10:41:00Z,GW
OSINT ,Open-source intelligence,is the collection and analysis of data gathered from open sources (covert and publicly available sources) to produce actionable intelligence.,https://en.wikipedia.org/wiki/Open-source_intelligence,2023-04-06T11:12:00Z,GW,2023-04-06T11:12:00Z,GW
OSPF,Open Shortest Path First,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
OSSEC,Open Source HIDS SECurity ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
OT,Operational Technology,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
OWASP,Open Web Application Security Project,,https://owasp.org,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PAAS,Platform as a Service,"Platform as a service (PaaS) or application platform as a service (aPaaS) or platform-based service is a category of cloud computing services that allows customers to provision, instantiate, run, and manage a modular bundle comprising a computing platform and one or more applications, ",https://en.wikipedia.org/wiki/Platform_as_a_service,2022-12-15T11:41:25Z,GW,2023-01-19T14:35:00Z,GW
PABP,Payment Application Best Practices,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PACS,Physical Access Control System,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PAM,Plugable Authentication Modules,,https://en.wikipedia.org/wiki/Pluggable_authentication_module,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PAM,Privileged Access Management,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PAN,Personal Area Network,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PAT,Port Address Translation ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PCAP,Packet Capture,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PEP,Python Enhancement Proposal,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PGP,Pretty Good Privacy ,"Pretty Good Privacy (PGP) is an encryption program that provides cryptographic privacy and authentication for data communication. PGP is used for signing, encrypting, and decrypting texts, e-mails, files, directories, and whole disk partitions and to increase the security of e-mail communications. Phil Zimmermann developed PGP in 1991.",https://en.wikipedia.org/wiki/Pretty_Good_Privacy,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PHI,Protected Health Information,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PII,Personally identifiable information ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PIN,Personal Identification Number," a PIN number or PIN code, is a numeric (sometimes alpha-numeric) passcode used in the process of authenticating a user accessing a system.",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PING,Packet Internet Grouper,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PIV,Personal Identity Verification,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PK,Public Key,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PKCS,Public Key Cryptography System,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PKCS #11,,"In cryptography, PKCS #11 is one of the Public-Key Cryptography Standards, and also refers to the programming interface to create and manipulate cryptographic tokens (a token where the secret is a cryptographic key).",https://en.wikipedia.org/wiki/PKCS_11,2023-04-13T08:21:00Z,GW,2023-04-13T08:21:00Z,GW
PKI,Public Key Infrastructure ,"a set of roles, policies, hardware, software and procedures needed to create, manage, distribute, use, store and revoke digital certificates and manage public-key encryption",https://en.wikipedia.org/wiki/Public_key_infrastructure,2023-12-15T11:41:25Z,GW,2023-04-06T12:57:00Z,GW
PKIX,Public Key Infrastructure for X.509 Certificates,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PKM,Public Key Management,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PNAC,Port-based Network Access Control,IEEE 802.1X is an IEEE Standard for ,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
POK,Proof of knowledge,an interactive proof in which the prover succeeds in 'convincing' a verifier that the prover knows something ,https://en.wikipedia.org/wiki/Proof_of_knowledge,2023-04-13T08:21:00Z,GW,2023-04-13T08:21:00Z,GW
POP3,Post Office Protocol version 3 ,"In computing, the Post Office Protocol (POP) is an application-layer Internet standard protocol used by e-mail clients to retrieve e-mail from a mail server. ",https://en.wikipedia.org/wiki/Post_Office_Protocol,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PORT 10000,Webmin,Network Data Management Protocol,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 10161,SNMP,Simple Network Management Protocol (SNMP) v3,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 10162,SNMP,Simple Network Management Protocol (SNMP) v3,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 110,POP3,Post Office Protocol version 3 (POP3),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 123,NTP,Network Time Protocol (NTP),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 139,NETBIOS,NetBIOS is a non-routable OSI Session Layer 5 Protocol,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 143,IMAP,Internet Message Access Protocol (IMAP),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 1433,,Microsoft SQL Server database management system server,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 1434,,Microsoft SQL Server database management system monitor,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 161,SNMP,Simple Network Management Protocol (SNMP),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 162,SNMP,Simple Network Management Protocol (SNMP),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 179,BGP,Border Gateway Protocol (BGP),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 1812,RADIUS,RADIUS authentication traffic from Internet-based RADIUS clients to the NPS,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 1813,RADIUS,RADIUS accounting traffic from Internet-based RADIUS clients to the NPS. ,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 20,FTP,File Transfer Protocol (FTP),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 2082,,cPanel,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 2083,,Secure RADIUS Service (radsec),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 21,FTP,File Transfer Protocol (FTP),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 22,SSH,Secure Shell,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 2222,DirectAdmin,EtherNet/IP implicit messaging for IO data,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 23,Telnet,Telnet remote login service,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 25,SMTP,Simple Mail Transfer Protocol,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 3306,,MySQL database system,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 3389,RDP,Microsoft Terminal Server (RDP) Remote Desktop Protocol (RDP),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 389,LDAP,Lightweight Directory Access Protocol (LDAP) queries,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 443,HTTPS,HTTP Secure (HTTPS),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 445,SMB,Server Message Block (SMB),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 465,SMTP,SMTP over implicit SSL (obsolete),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 500,ISAKMP,Internet Security Association and Key Managment Protocol,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 5060,SIP,Session Initiation Protocol (SIP),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 5061,SIP,Session Initiation Protocol (SIP) over TLS,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 514,UDP,Syslog,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 53,DNS,Domain Name System (DNS),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 59000,VNC,Virtual Network Computing (VNC),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 636,LDAPS,Lightweight Directory Access Protocol over TLS/SSL,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 67,DHCP,"Dynamic Host Configuration Protocol (DHCP), Server",,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 68,DHCP,"Dynamic Host Configuration Protocol (DHCP), Client",,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 69,TFTP,Trivial File Transfer Protocol,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 80,HTTP,Hypertext Transfer Protocol (HTTP),,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 8080,HTTP,Alternative port for HTTP. See also ports 80 and 8008.,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 8443,Plesk,"Apache Tomcat SSL,  Promise WebPAM SSL and more",,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
PORT 993,IMAPS,Internet Message Access Protocol over TLS/SSL ,,2024-02-13T09:54:00Z,GW,2024-02-13T09:54:00Z,GW
POS,Point of Sale,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PPP,Point-to-Point ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PRADS,Passive Real-time Asset Detection System ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PSI,Personal Security Information is another type of PII,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PSIRT,Product Security Incident Response Team,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
PSK,Pre-shared key,"a key from shared secret, the key derivation function is typically used. Such systems almost always use symmetric key cryptographic algorithms",https://en.wikipedia.org/wiki/Pre-shared_key,2023-04-13T08:21:00Z,GW,2023-04-13T08:21:00Z,GW
R&D,Research and Development,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
RAAS,Ransomware as a Service (RaaS) ,a business model between ransomware operators and affiliates in which affiliates pay to launch ransomware attacks developed by operators,https://www.crowdstrike.com/cybersecurity-101/ransomware/ransomware-as-a-service-raas/,2023-04-13T08:21:00Z,GW,2023-04-13T08:21:00Z,GW
RADIUS,Remote Authentication Dial-In User Service ,"Remote Authentication Dial-In User Service (RADIUS) is a networking protocol that provides centralized authentication, authorization, and accounting (AAA) management for users who connect and use a network service. ",https://en.wikipedia.org/wiki/RADIUS,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
RBAC,Role-based access control,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
RCE, Remote code execution (RCE), refers to a class of cyberattacks in which attackers remotely execute commands to place malware or other malicious code on your computer or network.,https://www.crowdstrike.com/cybersecurity-101/remote-code-execution-rce/,2024-02-12T12:20:00Z,GW,2024-02-12T12:20:00Z,GW
REPL,Read-Eval-Print Loop," is a computer environment where user inputs are read and evaluated, and then the results are returned to the user",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
REST,Representational State Transfer,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
RF,Radio Frequencies,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
RFC,Request For Comment,"A Request for Comments (RFC) is a publication in a series from the principal technical development and standards-setting bodies for the Internet, most prominently the Internet Engineering Task Force (IETF).  ",https://en.wikipedia.org/wiki/Request_for_Comments,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
RFM,Risk Management Framework ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
RHEL,Red Hat Enterprise Linux,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
RNG,Random number generation,,,2023-04-06T11:12:00Z,GW,2023-04-06T11:12:00Z,GW
ROCA,Return of Coppersmith's attack,a cryptographic weakness that allows the private key of a key pair to be recovered from the public key in keys generated by devices with the vulnerability,https://en.wikipedia.org/wiki/ROCA_vulnerability,2023-04-06T11:12:00Z,GW,2023-04-06T11:12:00Z,GW
ROE,Rules of Engagement (ROE),Detailed guidelines and constraints regarding the execution of information security testing.,https://csrc.nist.gov/glossary/term/rules_of_engagement,2024-02-12T10:46:00Z,GW,2024-02-12T10:46:00Z,GW
RPM,Red Hat Package Manager ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
RR,Resource Record ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
RSA,Retrospective Security Analysis ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
RSA,Rivest-Shamir-Adelman (algorithm),,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
RTO,Recovery Time Objective ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
RTS,Ready to Send,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SA,Source Address,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SAAS,Software as a Service,"Software as a service (SaaS /sæs) is a software licensing and delivery model in which software is licensed on a subscription basis and is centrally hosted. SaaS is also known as ""on-demand software"" and Web-based/Web-hosted software",https://en.wikipedia.org/wiki/Software_as_a_service,2022-12-15T11:41:25Z,GW,2023-01-19T14:35:00Z,GW
SAM,Security Account Manager,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SAML,Security Assertion Markup Language,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SAN,Storage Area Network,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SANCP,Security Analyst Network Connection Profiler ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SCA,Secure Customer Authentication,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SCSI,Small Computer System Interface ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SCVP, Server-based Certificate Validation Protocol,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SDL,Security Development Lifecycle,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SDN,Software Defined Networking ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SDP,Software Defined Perimeter,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SELINUX,Security-Enhanced Linux,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SFTP,SSH File Transfer Protocol ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SGID,Set-group identification,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SHA,Secure Hash Algorithm ,a family of cryptographic hash functions published by the National Institute of Standards and Technology,https://en.wikipedia.org/wiki/Secure_Hash_Algorithms,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SHA1,,SHA-1 and SHA-2 NSA,,2023-04-13T08:21:00Z,GW,2023-04-13T08:21:00Z,GW
SIEM,Security Information and Event Management,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SKMS,Secure Key Management System,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SKU,Stock Keeping Unit,"in inventory management, a stock keeping unit is the unit of measure in which the stocks of a material are managed.",https://en.wikipedia.org/wiki/Stock_keeping_unit,2023-01-19T14:35:00Z,GW,2023-01-19T14:35:00Z,GW
SLA,Service-Level Agreement,"A service-level agreement (SLA) is a commitment between a service provider and a customer. Particular aspects of the service – quality, availability, responsibilities – are agreed between the service provider and the service user.",https://en.wikipedia.org/wiki/Service-level_agreement,2022-12-15T11:41:25Z,GW,2023-01-19T14:35:00Z,GW
SLAAC,Stateless Address Auto configuration ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SLD,Second Level Domain,"the SLD is the most human readable part of the domain name. In a domain name like www.domain.com, “domain” is the SLD. ",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SLO,Service-Level Objective,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SMB,Server Message Block ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SMTP,Simple Mail Transfer Protocol,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SNMP,Simple Network Management Protocol ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SO,Security Onion,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SOAR,Security Orchestration Automation and Response,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SOC,Security Operations Center,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SOD,Separation of duty,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SOHO,Small Office and Home Office,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SOPS,standard operating procedures ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SPI,Stateful Packet Inspection,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SSE,Systems Security Engineering ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SSH,Secure Shell,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SSID,Service Set Identifier ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SSL,Secure Sockets Layer ,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SSS,Shamir's Secret Sharing ,"an efficient secret sharing algorithm for distributing private information (the ""secret"") among a group so that the secret cannot be revealed unless a quorum of the group acts together to pool their knowledge",https://en.wikipedia.org/wiki/Shamir%27s_secret_sharing,2023-04-13T08:21:00Z,GW,2023-04-13T08:21:00Z,GW
STIX,Structured Threat Information Expression,Structured Threat Information Expression — a standard used to create and share cyber threat intelligence information in a machine-readable format. ,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
STP,Spanning Tree Protocol,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
SUID,Set Owner User ID,SUID or Set Owner User ID is a permission bit flag that applies to executables. SUID allows an alternate user to run an executable with the same permissions as the owner of the file instead of the permissions of the alternate user.,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
TACACS+,Terminal Access Controller Access-Control System Plus,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
TAXII,Trusted Automated Exchange of Indicator Information  ,"Trusted Automated Exchange of Indicator Information — a standard that provides a transport mechanism (data exchange) of cyber threat intelligence information in STIX format. In other words, TAXII servers can be used to author and exchange STIX documents among participants.",,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
TCB,Trusted Computing Base,"TCB of a computer system is the set of all hardware, firmware, and/or software components that are critical to its security, in the sense that bugs or vulnerabilities occurring inside the TCB might jeopardize the security properties of the entire system.",https://en.wikipedia.org/wiki/Trusted_computing_base,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
TCP,Transmission Control Protocol,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
TFTP,Trivial File Transfer Protocol,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
TIP,Threat Intelligence Platform,,,2022-12-15T11:41:25Z,GW,2022-12-15T11:41:25Z,GW
